<<<<<<< HEAD
<<<<<<< HEAD
#NumNodes NumBases UnitTravelTime RespThreshold
225 25 1.000000 2.00
#DemandNodes: x y
=======
#NumNodes NumBases RespThreshold
225 25 2.00
#DemandNodes
>>>>>>> 286f77c... Continuous coordinates
=======
#NumNodes NumBases UnitTravelTime RespThreshold
225 25 1.000000 2.00
#DemandNodes: x y
>>>>>>> a1261b4... New home for eta and v
0 0.50 0.50 0.012371
1 0.50 1.50 0.023574
2 0.50 2.50 0.029401
3 0.50 3.50 0.024219
4 0.50 4.50 0.013657
5 0.50 5.50 0.006095
6 0.50 6.50 0.003267
7 0.50 7.50 0.003267
8 0.50 8.50 0.006095
9 0.50 9.50 0.013657
10 0.50 10.50 0.024219
11 0.50 11.50 0.029401
12 0.50 12.50 0.023574
13 0.50 13.50 0.012371
14 0.50 14.50 0.004236
15 1.50 0.50 0.023574
16 1.50 1.50 0.044960
17 1.50 2.50 0.056206
18 1.50 3.50 0.046624
19 1.50 4.50 0.026891
20 1.50 5.50 0.012858
21 1.50 6.50 0.007698
22 1.50 7.50 0.007698
23 1.50 8.50 0.012858
24 1.50 9.50 0.026891
25 1.50 10.50 0.046624
26 1.50 11.50 0.056206
27 1.50 12.50 0.044960
28 1.50 13.50 0.023574
29 1.50 14.50 0.008073
30 2.50 0.50 0.029401
31 2.50 1.50 0.056206
32 2.50 2.50 0.070750
33 2.50 3.50 0.059869
34 2.50 4.50 0.036705
35 2.50 5.50 0.020580
36 2.50 6.50 0.014984
37 2.50 7.50 0.014984
38 2.50 8.50 0.020580
39 2.50 9.50 0.036705
40 2.50 10.50 0.059869
41 2.50 11.50 0.070750
42 2.50 12.50 0.056206
43 2.50 13.50 0.029401
44 2.50 14.50 0.010066
45 3.50 0.50 0.024219
46 3.50 1.50 0.046624
47 3.50 2.50 0.059869
48 3.50 3.50 0.053512
49 3.50 4.50 0.037954
50 3.50 5.50 0.028027
51 3.50 6.50 0.025461
52 3.50 7.50 0.025461
53 3.50 8.50 0.028027
54 3.50 9.50 0.037954
55 3.50 10.50 0.053512
56 3.50 11.50 0.059869
57 3.50 12.50 0.046624
58 3.50 13.50 0.024219
59 3.50 14.50 0.008286
60 4.50 0.50 0.013657
61 4.50 1.50 0.026891
62 4.50 2.50 0.036705
63 4.50 3.50 0.037954
64 4.50 4.50 0.035711
65 4.50 5.50 0.036337
66 4.50 6.50 0.038681
67 4.50 7.50 0.038681
68 4.50 8.50 0.036337
69 4.50 9.50 0.035711
70 4.50 10.50 0.037954
71 4.50 11.50 0.036705
72 4.50 12.50 0.026891
73 4.50 13.50 0.013657
74 4.50 14.50 0.004662
75 5.50 0.50 0.006095
76 5.50 1.50 0.012858
77 5.50 2.50 0.020580
78 5.50 3.50 0.028027
79 5.50 4.50 0.036337
80 5.50 5.50 0.045489
81 5.50 6.50 0.051939
82 5.50 7.50 0.051939
83 5.50 8.50 0.045489
84 5.50 9.50 0.036337
85 5.50 10.50 0.028027
86 5.50 11.50 0.020580
87 5.50 12.50 0.012858
88 5.50 13.50 0.006095
89 5.50 14.50 0.002066
90 6.50 0.50 0.003267
91 6.50 1.50 0.007698
92 6.50 2.50 0.014984
93 6.50 3.50 0.025461
94 6.50 4.50 0.038681
95 6.50 5.50 0.051939
96 6.50 6.50 0.060484
97 6.50 7.50 0.060484
98 6.50 8.50 0.051939
99 6.50 9.50 0.038681
100 6.50 10.50 0.025461
101 6.50 11.50 0.014984
102 6.50 12.50 0.007698
103 6.50 13.50 0.003267
104 6.50 14.50 0.001094
105 7.50 0.50 0.003267
106 7.50 1.50 0.007698
107 7.50 2.50 0.014984
108 7.50 3.50 0.025461
109 7.50 4.50 0.038681
110 7.50 5.50 0.051939
111 7.50 6.50 0.060484
112 7.50 7.50 0.060484
113 7.50 8.50 0.051939
114 7.50 9.50 0.038681
115 7.50 10.50 0.025461
116 7.50 11.50 0.014984
117 7.50 12.50 0.007698
118 7.50 13.50 0.003267
119 7.50 14.50 0.001094
120 8.50 0.50 0.006095
121 8.50 1.50 0.012858
122 8.50 2.50 0.020580
123 8.50 3.50 0.028027
124 8.50 4.50 0.036337
125 8.50 5.50 0.045489
126 8.50 6.50 0.051939
127 8.50 7.50 0.051939
128 8.50 8.50 0.045489
129 8.50 9.50 0.036337
130 8.50 10.50 0.028027
131 8.50 11.50 0.020580
132 8.50 12.50 0.012858
133 8.50 13.50 0.006095
134 8.50 14.50 0.002066
135 9.50 0.50 0.013657
136 9.50 1.50 0.026891
137 9.50 2.50 0.036705
138 9.50 3.50 0.037954
139 9.50 4.50 0.035711
140 9.50 5.50 0.036337
141 9.50 6.50 0.038681
