#NumNodes NumBases UnitTravelTime RespThreshold
225 25 2.500000 9.00
#DemandNodes: x y
0 0.50 0.50 0.004714
1 0.50 1.50 0.011118
2 0.50 2.50 0.017127
3 0.50 3.50 0.017316
4 0.50 4.50 0.011686
5 0.50 5.50 0.005646
6 0.50 6.50 0.002535
7 0.50 7.50 0.001778
8 0.50 8.50 0.002535
9 0.50 9.50 0.005646
10 0.50 10.50 0.011686
11 0.50 11.50 0.017316
12 0.50 12.50 0.017127
13 0.50 13.50 0.011118
14 0.50 14.50 0.004714
15 1.50 0.50 0.011118
16 1.50 1.50 0.026225
17 1.50 2.50 0.040427
18 1.50 3.50 0.040954
19 1.50 4.50 0.027812
20 1.50 5.50 0.013717
21 1.50 6.50 0.006500
22 1.50 7.50 0.004760
23 1.50 8.50 0.006500
24 1.50 9.50 0.013717
25 1.50 10.50 0.027812
26 1.50 11.50 0.040954
27 1.50 12.50 0.040427
28 1.50 13.50 0.026225
29 1.50 14.50 0.011118
30 2.50 0.50 0.017127
31 2.50 1.50 0.040427
32 2.50 2.50 0.062473
33 2.50 3.50 0.063728
34 2.50 4.50 0.044208
35 2.50 5.50 0.023318
36 2.50 6.50 0.012848
37 2.50 7.50 0.010413
38 2.50 8.50 0.012848
39 2.50 9.50 0.023318
40 2.50 10.50 0.044208
41 2.50 11.50 0.063728
42 2.50 12.50 0.062473
43 2.50 13.50 0.040427
44 2.50 14.50 0.017127
45 3.50 0.50 0.017316
46 3.50 1.50 0.040954
47 3.50 2.50 0.063728
48 3.50 3.50 0.066283
49 3.50 4.50 0.048648
50 3.50 5.50 0.029907
51 3.50 6.50 0.021197
52 3.50 7.50 0.019448
53 3.50 8.50 0.021197
54 3.50 9.50 0.029907
55 3.50 10.50 0.048648
56 3.50 11.50 0.066283
57 3.50 12.50 0.063728
58 3.50 13.50 0.040954
59 3.50 14.50 0.017316
60 4.50 0.50 0.011686
61 4.50 1.50 0.027812
62 4.50 2.50 0.044208
63 4.50 3.50 0.048648
64 4.50 4.50 0.041183
65 4.50 5.50 0.033559
66 4.50 6.50 0.031643
67 4.50 7.50 0.031968
68 4.50 8.50 0.031643
69 4.50 9.50 0.033559
70 4.50 10.50 0.041183
71 4.50 11.50 0.048648
72 4.50 12.50 0.044208
73 4.50 13.50 0.027812
74 4.50 14.50 0.011686
75 5.50 0.50 0.005646
76 5.50 1.50 0.013717
77 5.50 2.50 0.023318
78 5.50 3.50 0.029907
79 5.50 4.50 0.033559
80 5.50 5.50 0.038098
81 5.50 6.50 0.043657
82 5.50 7.50 0.046277
83 5.50 8.50 0.043657
84 5.50 9.50 0.038098
85 5.50 10.50 0.033559
86 5.50 11.50 0.029907
87 5.50 12.50 0.023318
88 5.50 13.50 0.013717
89 5.50 14.50 0.005646
90 6.50 0.50 0.002535
91 6.50 1.50 0.006500
92 6.50 2.50 0.012848
93 6.50 3.50 0.021197
94 6.50 4.50 0.031643
95 6.50 5.50 0.043657
96 6.50 6.50 0.054019
97 6.50 7.50 0.058184
98 6.50 8.50 0.054019
99 6.50 9.50 0.043657
100 6.50 10.50 0.031643
101 6.50 11.50 0.021197
102 6.50 12.50 0.012848
103 6.50 13.50 0.006500
104 6.50 14.50 0.002535
105 7.50 0.50 0.001778
106 7.50 1.50 0.004760
107 7.50 2.50 0.010413
108 7.50 3.50 0.019448
109 7.50 4.50 0.031968
110 7.50 5.50 0.046277
111 7.50 6.50 0.058184
112 7.50 7.50 0.062867
113 7.50 8.50 0.058184
114 7.50 9.50 0.046277
115 7.50 10.50 0.031968
116 7.50 11.50 0.019448
117 7.50 12.50 0.010413
118 7.50 13.50 0.004760
119 7.50 14.50 0.001778
120 8.50 0.50 0.002535
