#NumNodes NumBases UnitTravelTime RespThreshold
225 25 2.250000 9.00
#DemandNodes: x y
0 0.50 0.50 0.072111
1 0.50 1.50 0.079596
2 0.50 2.50 0.083754
3 0.50 3.50 0.085526
4 0.50 4.50 0.086212
5 0.50 5.50 0.086641
6 0.50 6.50 0.086998
7 0.50 7.50 0.087149
8 0.50 8.50 0.086998
9 0.50 9.50 0.086641
10 0.50 10.50 0.086212
11 0.50 11.50 0.085526
12 0.50 12.50 0.083754
13 0.50 13.50 0.079596
14 0.50 14.50 0.072111
15 1.50 0.50 0.079596
16 1.50 1.50 0.087849
17 1.50 2.50 0.092290
18 1.50 3.50 0.094098
19 1.50 4.50 0.094827
20 1.50 5.50 0.095384
21 1.50 6.50 0.095882
22 1.50 7.50 0.096093
23 1.50 8.50 0.095882
24 1.50 9.50 0.095384
25 1.50 10.50 0.094827
26 1.50 11.50 0.094098
27 1.50 12.50 0.092290
28 1.50 13.50 0.087849
29 1.50 14.50 0.079596
30 2.50 0.50 0.083754
31 2.50 1.50 0.092290
32 2.50 2.50 0.096605
33 2.50 3.50 0.098131
34 2.50 4.50 0.098675
35 2.50 5.50 0.099204
36 2.50 6.50 0.099749
37 2.50 7.50 0.099987
38 2.50 8.50 0.099749
39 2.50 9.50 0.099204
40 2.50 10.50 0.098675
41 2.50 11.50 0.098131
42 2.50 12.50 0.096605
43 2.50 13.50 0.092290
44 2.50 14.50 0.083754
45 3.50 0.50 0.085526
46 3.50 1.50 0.094098
47 3.50 2.50 0.098131
48 3.50 3.50 0.099304
49 3.50 4.50 0.099659
50 3.50 5.50 0.100189
51 3.50 6.50 0.100807
52 3.50 7.50 0.101081
53 3.50 8.50 0.100807
54 3.50 9.50 0.100189
55 3.50 10.50 0.099659
56 3.50 11.50 0.099304
57 3.50 12.50 0.098131
58 3.50 13.50 0.094098
59 3.50 14.50 0.085526
60 4.50 0.50 0.086212
61 4.50 1.50 0.094827
62 4.50 2.50 0.098675
63 4.50 3.50 0.099659
64 4.50 4.50 0.100015
65 4.50 5.50 0.100715
66 4.50 6.50 0.101523
67 4.50 7.50 0.101875
68 4.50 8.50 0.101523
69 4.50 9.50 0.100715
70 4.50 10.50 0.100015
71 4.50 11.50 0.099659
72 4.50 12.50 0.098675
73 4.50 13.50 0.094827
74 4.50 14.50 0.086212
