<<<<<<< HEAD
#NumNodes NumBases UnitTravelTime RespThreshold
225 25 2.500000 9.00
#DemandNodes: x y
=======
#NumNodes NumBases RespThreshold
225 25 5.00
#DemandNodes
>>>>>>> 286f77c... Continuous coordinates
0 0.50 0.50 0.000011
1 0.50 1.50 0.000031
2 0.50 2.50 0.000073
3 0.50 3.50 0.000148
4 0.50 4.50 0.000258
5 0.50 5.50 0.000383
6 0.50 6.50 0.000485
7 0.50 7.50 0.000525
8 0.50 8.50 0.000485
9 0.50 9.50 0.000383
10 0.50 10.50 0.000258
11 0.50 11.50 0.000148
12 0.50 12.50 0.000073
13 0.50 13.50 0.000031
14 0.50 14.50 0.000011
15 1.50 0.50 0.000031
16 1.50 1.50 0.000085
17 1.50 2.50 0.000204
18 1.50 3.50 0.000414
19 1.50 4.50 0.000720
20 1.50 5.50 0.001068
21 1.50 6.50 0.001354
22 1.50 7.50 0.001465
23 1.50 8.50 0.001354
24 1.50 9.50 0.001068
25 1.50 10.50 0.000720
26 1.50 11.50 0.000414
27 1.50 12.50 0.000204
28 1.50 13.50 0.000085
29 1.50 14.50 0.000031
30 2.50 0.50 0.000073
31 2.50 1.50 0.000204
32 2.50 2.50 0.000485
33 2.50 3.50 0.000987
34 2.50 4.50 0.001716
35 2.50 5.50 0.002546
36 2.50 6.50 0.003227
37 2.50 7.50 0.003492
38 2.50 8.50 0.003227
39 2.50 9.50 0.002546
40 2.50 10.50 0.001716
41 2.50 11.50 0.000987
42 2.50 12.50 0.000485
43 2.50 13.50 0.000204
44 2.50 14.50 0.000073
45 3.50 0.50 0.000148
46 3.50 1.50 0.000414
47 3.50 2.50 0.000987
48 3.50 3.50 0.002009
49 3.50 4.50 0.003492
50 3.50 5.50 0.005182
51 3.50 6.50 0.006566
52 3.50 7.50 0.007106
53 3.50 8.50 0.006566
54 3.50 9.50 0.005182
55 3.50 10.50 0.003492
56 3.50 11.50 0.002009
57 3.50 12.50 0.000987
58 3.50 13.50 0.000414
59 3.50 14.50 0.000148
60 4.50 0.50 0.000258
61 4.50 1.50 0.000720
62 4.50 2.50 0.001716
63 4.50 3.50 0.003492
64 4.50 4.50 0.006068
65 4.50 5.50 0.009005
66 4.50 6.50 0.011411
67 4.50 7.50 0.012348
68 4.50 8.50 0.011411
69 4.50 9.50 0.009005
70 4.50 10.50 0.006068
71 4.50 11.50 0.003492
72 4.50 12.50 0.001716
73 4.50 13.50 0.000720
74 4.50 14.50 0.000258
75 5.50 0.50 0.000383
76 5.50 1.50 0.001068
77 5.50 2.50 0.002546
78 5.50 3.50 0.005182
79 5.50 4.50 0.009005
80 5.50 5.50 0.013363
81 5.50 6.50 0.016934
82 5.50 7.50 0.018325
83 5.50 8.50 0.016934
84 5.50 9.50 0.013363
85 5.50 10.50 0.009005
86 5.50 11.50 0.005182
87 5.50 12.50 0.002546
88 5.50 13.50 0.001068
89 5.50 14.50 0.000383
90 6.50 0.50 0.000485
91 6.50 1.50 0.001354
92 6.50 2.50 0.003227
93 6.50 3.50 0.006566
94 6.50 4.50 0.011411
95 6.50 5.50 0.016934
96 6.50 6.50 0.021458
97 6.50 7.50 0.023221
98 6.50 8.50 0.021458
99 6.50 9.50 0.016934
100 6.50 10.50 0.011411
101 6.50 11.50 0.006566
102 6.50 12.50 0.003227
103 6.50 13.50 0.001354
104 6.50 14.50 0.000485
105 7.50 0.50 0.000525
106 7.50 1.50 0.001465
107 7.50 2.50 0.003492
108 7.50 3.50 0.007106
109 7.50 4.50 0.012348
110 7.50 5.50 0.018325
111 7.50 6.50 0.023221
112 7.50 7.50 0.025128
113 7.50 8.50 0.023221
114 7.50 9.50 0.018325
115 7.50 10.50 0.012348
