#NumNodes NumBases UnitTravelTime RespThreshold
225 13 2.250000 9.00
#DemandNodes: x y
0 0.50 0.50 0.000721
1 0.50 1.50 0.001475
2 0.50 2.50 0.002702
3 0.50 3.50 0.004435
4 0.50 4.50 0.006519
5 0.50 5.50 0.008584
6 0.50 6.50 0.010126
7 0.50 7.50 0.010699
8 0.50 8.50 0.010126
9 0.50 9.50 0.008584
10 0.50 10.50 0.006519
11 0.50 11.50 0.004435
12 0.50 12.50 0.002702
13 0.50 13.50 0.001475
14 0.50 14.50 0.000721
15 1.50 0.50 0.000952
16 1.50 1.50 0.001948
17 1.50 2.50 0.003569
18 1.50 3.50 0.005857
19 1.50 4.50 0.008610
20 1.50 5.50 0.011338
21 1.50 6.50 0.013373
22 1.50 7.50 0.014130
23 1.50 8.50 0.013373
24 1.50 9.50 0.011338
25 1.50 10.50 0.008610
26 1.50 11.50 0.005857
27 1.50 12.50 0.003569
28 1.50 13.50 0.001948
29 1.50 14.50 0.000952
30 2.50 0.50 0.001131
31 2.50 1.50 0.002314
32 2.50 2.50 0.004239
33 2.50 3.50 0.006958
34 2.50 4.50 0.010228
35 2.50 5.50 0.013468
36 2.50 6.50 0.015887
37 2.50 7.50 0.016786
38 2.50 8.50 0.015887
39 2.50 9.50 0.013468
40 2.50 10.50 0.010228
41 2.50 11.50 0.006958
42 2.50 12.50 0.004239
43 2.50 13.50 0.002314
44 2.50 14.50 0.001131
45 3.50 0.50 0.001216
46 3.50 1.50 0.002487
47 3.50 2.50 0.004556
48 3.50 3.50 0.007477
49 3.50 4.50 0.010991
50 3.50 5.50 0.014474
51 3.50 6.50 0.017072
52 3.50 7.50 0.018038
53 3.50 8.50 0.017072
54 3.50 9.50 0.014474
55 3.50 10.50 0.010991
56 3.50 11.50 0.007477
57 3.50 12.50 0.004556
58 3.50 13.50 0.002487
59 3.50 14.50 0.001216
60 4.50 0.50 0.001197
61 4.50 1.50 0.002449
62 4.50 2.50 0.004486
63 4.50 3.50 0.007363
64 4.50 4.50 0.010824
65 4.50 5.50 0.014253
66 4.50 6.50 0.016812
67 4.50 7.50 0.017764
68 4.50 8.50 0.016812
69 4.50 9.50 0.014253
