#NumChangepoints NumNodes
4 225
#ChangeTimes
1 361 721 1081 
#ArrivalProbs
0.00144 0.00036 0.00144 0.00036 
0.00295 0.00074 0.00295 0.00074 
0.00540 0.00135 0.00540 0.00135 
0.00887 0.00222 0.00887 0.00222 
0.01304 0.00326 0.01304 0.00326 
0.01717 0.00429 0.01717 0.00429 
0.02025 0.00506 0.02025 0.00506 
0.02140 0.00535 0.02140 0.00535 
0.02025 0.00506 0.02025 0.00506 
0.01717 0.00429 0.01717 0.00429 
0.01304 0.00326 0.01304 0.00326 
0.00887 0.00222 0.00887 0.00222 
0.00540 0.00135 0.00540 0.00135 
0.00295 0.00074 0.00295 0.00074 
0.00144 0.00036 0.00144 0.00036 
0.00190 0.00048 0.00190 0.00048 
0.00390 0.00097 0.00390 0.00097 
0.00714 0.00178 0.00714 0.00178 
0.01171 0.00293 0.01171 0.00293 
0.01722 0.00430 0.01722 0.00430 
0.02268 0.00567 0.02268 0.00567 
0.02675 0.00669 0.02675 0.00669 
0.02826 0.00707 0.02826 0.00707 
0.02675 0.00669 0.02675 0.00669 
0.02268 0.00567 0.02268 0.00567 
0.01722 0.00430 0.01722 0.00430 
0.01171 0.00293 0.01171 0.00293 
0.00714 0.00178 0.00714 0.00178 
0.00390 0.00097 0.00390 0.00097 
0.00190 0.00048 0.00190 0.00048 
0.00226 0.00057 0.00226 0.00057 
0.00463 0.00116 0.00463 0.00116 
0.00848 0.00212 0.00848 0.00212 
0.01392 0.00348 0.01392 0.00348 
0.02046 0.00511 0.02046 0.00511 
0.02694 0.00673 0.02694 0.00673 
0.03177 0.00794 0.03177 0.00794 
0.03357 0.00839 0.03357 0.00839 
0.03177 0.00794 0.03177 0.00794 
0.02694 0.00673 0.02694 0.00673 
0.02046 0.00511 0.02046 0.00511 
0.01392 0.00348 0.01392 0.00348 
0.00848 0.00212 0.00848 0.00212 
0.00463 0.00116 0.00463 0.00116 
0.00226 0.00057 0.00226 0.00057 
0.00243 0.00061 0.00243 0.00061 
0.00497 0.00124 0.00497 0.00124 
0.00911 0.00228 0.00911 0.00228 
0.01495 0.00374 0.01495 0.00374 
0.02198 0.00550 0.02198 0.00550 
0.02895 0.00724 0.02895 0.00724 
0.03414 0.00854 0.03414 0.00854 
0.03608 0.00902 0.03608 0.00902 
0.03414 0.00854 0.03414 0.00854 
0.02895 0.00724 0.02895 0.00724 
0.02198 0.00550 0.02198 0.00550 
0.01495 0.00374 0.01495 0.00374 
0.00911 0.00228 0.00911 0.00228 
0.00497 0.00124 0.00497 0.00124 
0.00243 0.00061 0.00243 0.00061 
0.00239 0.00060 0.00239 0.00060 
0.00490 0.00122 0.00490 0.00122 
0.00897 0.00224 0.00897 0.00224 
0.01473 0.00368 0.01473 0.00368 
0.02165 0.00541 0.02165 0.00541 
0.02851 0.00713 0.02851 0.00713 
0.03362 0.00841 0.03362 0.00841 
0.03553 0.00888 0.03553 0.00888 
0.03362 0.00841 0.03362 0.00841 
0.02851 0.00713 0.02851 0.00713 
0.02165 0.00541 0.02165 0.00541 
0.01473 0.00368 0.01473 0.00368 
0.00897 0.00224 0.00897 0.00224 
0.00490 0.00122 0.00490 0.00122 
0.00239 0.00060 0.00239 0.00060 
0.00222 0.00056 0.00222 0.00056 
0.00454 0.00114 0.00454 0.00114 
0.00832 0.00208 0.00832 0.00208 
0.01366 0.00341 0.01366 0.00341 
0.02008 0.00502 0.02008 0.00502 
0.02644 0.00661 0.02644 0.00661 
0.03118 0.00780 0.03118 0.00780 
0.03295 0.00824 0.03295 0.00824 
0.03118 0.00780 0.03118 0.00780 
0.02644 0.00661 0.02644 0.00661 
0.02008 0.00502 0.02008 0.00502 
0.01366 0.00341 0.01366 0.00341 
0.00832 0.00208 0.00832 0.00208 
0.00454 0.00114 0.00454 0.00114 
0.00222 0.00056 0.00222 0.00056 
0.00204 0.00051 0.00204 0.00051 
0.00416 0.00104 0.00416 0.00104 
0.00763 0.00191 0.00763 0.00191 
0.01252 0.00313 0.01252 0.00313 
0.01840 0.00460 0.01840 0.00460 
0.02423 0.00606 0.02423 0.00606 
0.02859 0.00715 0.02859 0.00715 
0.03020 0.00755 0.03020 0.00755 
0.02859 0.00715 0.02859 0.00715 
0.02423 0.00606 0.02423 0.00606 
0.01840 0.00460 0.01840 0.00460 
0.01252 0.00313 0.01252 0.00313 
0.00763 0.00191 0.00763 0.00191 
0.00416 0.00104 0.00416 0.00104 
0.00204 0.00051 0.00204 0.00051 
0.00196 0.00049 0.00196 0.00049 
0.00400 0.00100 0.00400 0.00100 
0.00734 0.00183 0.00734 0.00183 
0.01204 0.00301 0.01204 0.00301 
0.01770 0.00443 0.01770 0.00443 
0.02331 0.00583 0.02331 0.00583 
0.02749 0.00687 0.02749 0.00687 
0.02905 0.00726 0.02905 0.00726 
0.02749 0.00687 0.02749 0.00687 
0.02331 0.00583 0.02331 0.00583 
0.01770 0.00443 0.01770 0.00443 
0.01204 0.00301 0.01204 0.00301 
0.00734 0.00183 0.00734 0.00183 
0.00400 0.00100 0.00400 0.00100 
0.00196 0.00049 0.00196 0.00049 
0.00051 0.00204 0.00051 0.00204 
0.00104 0.00416 0.00104 0.00416 
0.00191 0.00763 0.00191 0.00763 
0.00313 0.01252 0.00313 0.01252 
0.00460 0.01840 0.00460 0.01840 
0.00606 0.02423 0.00606 0.02423 
0.00715 0.02859 0.00715 0.02859 
0.00755 0.03020 0.00755 0.03020 
0.00715 0.02859 0.00715 0.02859 
0.00606 0.02423 0.00606 0.02423 
0.00460 0.01840 0.00460 0.01840 
0.00313 0.01252 0.00313 0.01252 
0.00191 0.00763 0.00191 0.00763 
0.00104 0.00416 0.00104 0.00416 
0.00051 0.00204 0.00051 0.00204 
0.00056 0.00222 0.00056 0.00222 
0.00114 0.00454 0.00114 0.00454 
0.00208 0.00832 0.00208 0.00832 
0.00341 0.01366 0.00341 0.01366 
