41 3
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0312 0.0312 0.0625
0.0625 0.0625 0.1250
0.0938 0.0938 0.1875
0.1250 0.1250 0.2500
0.1562 0.1562 0.3125
0.1875 0.1875 0.3750
0.2188 0.2188 0.4375
0.2500 0.2500 0.5000
0.2812 0.2812 0.5625
0.3125 0.3125 0.6250
0.3750 0.3750 0.6875
0.4375 0.4375 0.7500
0.5000 0.5000 0.8125
0.5625 0.5625 0.8750
0.6250 0.6250 0.9375
0.6875 0.6875 1.0000
0.7188 0.7188 1.0000
0.7500 0.7500 1.0000
0.7812 0.7812 1.0000
0.8125 0.8125 1.0000
0.8438 0.8438 1.0000
0.8750 0.8750 1.0000
0.9062 0.9062 1.0000
0.9375 0.9375 1.0000
0.9688 0.9688 1.0000
1.0000 1.0000 1.0000
