61 3
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0000 0.0000 0.0000
0.0001 0.0001 0.0001
0.0003 0.0003 0.0003
0.0007 0.0007 0.0007
0.0013 0.0013 0.0013
0.0024 0.0024 0.0024
0.0041 0.0041 0.0041
0.0066 0.0066 0.0066
0.0102 0.0102 0.0102
0.0152 0.0152 0.0152
0.0219 0.0219 0.0219
0.0308 0.0308 0.0308
0.0422 0.0422 0.0422
0.0568 0.0568 0.0568
0.0748 0.0748 0.0748
0.0969 0.0969 0.0969
0.1234 0.1234 0.1234
0.1547 0.1547 0.1547
0.1911 0.1911 0.1911
0.2327 0.2327 0.2327
0.2794 0.2794 0.2794
0.3309 0.3309 0.3309
0.3867 0.3867 0.3867
0.4459 0.4459 0.4459
0.5075 0.5075 0.5075
0.5700 0.5700 0.5700
0.6321 0.6321 0.6321
0.6922 0.6922 0.6922
0.7486 0.7486 0.7486
0.8002 0.8002 0.8002
0.8458 0.8458 0.8458
0.8848 0.8848 0.8848
0.9169 0.9169 0.9169
0.9424 0.9424 0.9424
0.9616 0.9616 0.9616
0.9756 0.9756 0.9756
0.9852 0.9852 0.9852
0.9915 0.9915 0.9915
0.9954 0.9954 0.9954
0.9976 0.9976 0.9976
0.9989 0.9989 0.9989
0.9995 0.9995 0.9995
0.9998 0.9998 0.9998
0.9999 0.9999 0.9999
1.0000 1.0000 1.0000
1.0000 1.0000 1.0000
1.0000 1.0000 1.0000
1.0000 1.0000 1.0000
1.0000 1.0000 1.0000
1.0000 1.0000 1.0000
1.0000 1.0000 1.0000
1.0000 1.0000 1.0000
1.0000 1.0000 1.0000
1.0000 1.0000 1.0000
1.0000 1.0000 1.0000
1.0000 1.0000 1.0000
1.0000 1.0000 1.0000
