<<<<<<< HEAD
#NumNodes NumBases UnitTravelTime RespThreshold
81 4 1.000000 4.00
#DemandNodes: x y
=======
#NumNodes NumBases RespThreshold
81 4 4.00
#DemandNodes
>>>>>>> 286f77c... Continuous coordinates
0 0.50 0.50 0.023945
1 0.50 1.50 0.032187
2 0.50 2.50 0.036445
3 0.50 3.50 0.037406
4 0.50 4.50 0.037406
5 0.50 5.50 0.036445
6 0.50 6.50 0.032187
7 0.50 7.50 0.023945
8 0.50 8.50 0.014386
9 1.50 0.50 0.032187
10 1.50 1.50 0.043265
11 1.50 2.50 0.048989
12 1.50 3.50 0.050281
13 1.50 4.50 0.050281
14 1.50 5.50 0.048989
15 1.50 6.50 0.043265
16 1.50 7.50 0.032187
17 1.50 8.50 0.019337
18 2.50 0.50 0.036445
19 2.50 1.50 0.048989
20 2.50 2.50 0.055469
21 2.50 3.50 0.056932
22 2.50 4.50 0.056932
23 2.50 5.50 0.055469
24 2.50 6.50 0.048989
25 2.50 7.50 0.036445
26 2.50 8.50 0.021895
27 3.50 0.50 0.037406
28 3.50 1.50 0.050281
29 3.50 2.50 0.056932
30 3.50 3.50 0.058434
31 3.50 4.50 0.058434
32 3.50 5.50 0.056932
33 3.50 6.50 0.050281
34 3.50 7.50 0.037406
35 3.50 8.50 0.022473
36 4.50 0.50 0.037406
37 4.50 1.50 0.050281
38 4.50 2.50 0.056932
39 4.50 3.50 0.058434
40 4.50 4.50 0.058434
41 4.50 5.50 0.056932
42 4.50 6.50 0.050281
43 4.50 7.50 0.037406
44 4.50 8.50 0.022473
45 5.50 0.50 0.036445
46 5.50 1.50 0.048989
47 5.50 2.50 0.055469
48 5.50 3.50 0.056932
49 5.50 4.50 0.056932
50 5.50 5.50 0.055469
51 5.50 6.50 0.048989
52 5.50 7.50 0.036445
53 5.50 8.50 0.021895
54 6.50 0.50 0.032187
55 6.50 1.50 0.043265
56 6.50 2.50 0.048989
57 6.50 3.50 0.050281
58 6.50 4.50 0.050281
59 6.50 5.50 0.048989
60 6.50 6.50 0.043265
61 6.50 7.50 0.032187
62 6.50 8.50 0.019337
63 7.50 0.50 0.023945
64 7.50 1.50 0.032187
65 7.50 2.50 0.036445
66 7.50 3.50 0.037406
67 7.50 4.50 0.037406
68 7.50 5.50 0.036445
69 7.50 6.50 0.032187
70 7.50 7.50 0.023945
71 7.50 8.50 0.014386
72 8.50 0.50 0.014386
73 8.50 1.50 0.019337
74 8.50 2.50 0.021895
75 8.50 3.50 0.022473
76 8.50 4.50 0.022473
77 8.50 5.50 0.021895
78 8.50 6.50 0.019337
79 8.50 7.50 0.014386
80 8.50 8.50 0.008643
<<<<<<< HEAD
#Bases: x y NumAmbs
=======
#Bases
>>>>>>> 286f77c... Continuous coordinates
0 2.50 2.50 1
1 2.50 6.50 1
2 6.50 2.50 1
3 6.50 6.50 1
