9 9 1.00 4
0 0 0.015223 -1 0 
0 1 0.022691 -1 0 
0 2 0.027791 -1 0 
0 3 0.029643 -1 0 
0 4 0.029853 -1 0 
0 5 0.029643 -1 0 
0 6 0.027791 -1 0 
0 7 0.022691 -1 0 
0 8 0.015223 -1 0 
1 0 0.022691 -1 0 
1 1 0.033823 -1 0 
1 2 0.041425 -1 0 
1 3 0.044186 -1 0 
1 4 0.044498 -1 0 
1 5 0.044186 -1 0 
1 6 0.041425 -1 0 
1 7 0.033823 -1 0 
1 8 0.022691 -1 0 
2 0 0.027791 -1 0 
2 1 0.041425 -1 0 
2 2 0.050736 2 3 
2 3 0.054117 -1 0 
2 4 0.054500 -1 0 
2 5 0.054117 -1 0 
2 6 0.050736 3 3 
2 7 0.041425 -1 0 
2 8 0.027791 -1 0 
3 0 0.029643 -1 0 
3 1 0.044186 -1 0 
3 2 0.054117 -1 0 
3 3 0.057723 -1 0 
3 4 0.058131 -1 0 
3 5 0.057723 -1 0 
3 6 0.054117 -1 0 
3 7 0.044186 -1 0 
3 8 0.029643 -1 0 
4 0 0.029853 -1 0 
4 1 0.044498 -1 0 
4 2 0.054500 -1 0 
4 3 0.058131 -1 0 
4 4 0.058542 -1 0 
4 5 0.058131 -1 0 
4 6 0.054500 -1 0 
4 7 0.044498 -1 0 
4 8 0.029853 -1 0 
5 0 0.029643 -1 0 
5 1 0.044186 -1 0 
5 2 0.054117 -1 0 
5 3 0.057723 -1 0 
5 4 0.058131 -1 0 
5 5 0.057723 -1 0 
5 6 0.054117 -1 0 
5 7 0.044186 -1 0 
5 8 0.029643 -1 0 
6 0 0.027791 -1 0 
6 1 0.041425 -1 0 
6 2 0.050736 0 3 
6 3 0.054117 -1 0 
6 4 0.054500 -1 0 
6 5 0.054117 -1 0 
6 6 0.050736 1 3 
6 7 0.041425 -1 0 
6 8 0.027791 -1 0 
7 0 0.022691 -1 0 
7 1 0.033823 -1 0 
7 2 0.041425 -1 0 
7 3 0.044186 -1 0 
7 4 0.044498 -1 0 
7 5 0.044186 -1 0 
7 6 0.041425 -1 0 
7 7 0.033823 -1 0 
7 8 0.022691 -1 0 
8 0 0.015223 -1 0 
8 1 0.022691 -1 0 
8 2 0.027791 -1 0 
8 3 0.029643 -1 0 
8 4 0.029853 -1 0 
8 5 0.029643 -1 0 
8 6 0.027791 -1 0 
8 7 0.022691 -1 0 
8 8 0.015223 -1 0 
