15 15 1.00 4
0 0 0.004731 -1 0 
0 1 0.011164 -1 0 
0 2 0.017236 -1 0 
0 3 0.017538 -1 0 
0 4 0.012073 -1 0 
0 5 0.006220 -1 0 
0 6 0.003263 -1 0 
0 7 0.002565 -1 0 
0 8 0.003263 -1 0 
0 9 0.006220 -1 0 
0 10 0.012073 -1 0 
0 11 0.017538 -1 0 
0 12 0.017236 -1 0 
0 13 0.011164 -1 0 
0 14 0.004731 -1 0 
1 0 0.011164 -1 0 
1 1 0.026353 10 0 
1 2 0.040733 -1 0 
1 3 0.041576 -1 0 
1 4 0.028892 -1 0 
1 5 0.015320 -1 0 
1 6 0.008531 -1 0 
1 7 0.006957 5 0 
1 8 0.008531 -1 0 
1 9 0.015320 -1 0 
1 10 0.028892 -1 0 
1 11 0.041576 -1 0 
1 12 0.040733 -1 0 
1 13 0.026353 0 0 
1 14 0.011164 -1 0 
2 0 0.017236 -1 0 
2 1 0.040733 -1 0 
2 2 0.063201 -1 0 
2 3 0.065209 -1 0 
2 4 0.046782 -1 0 
2 5 0.027137 -1 0 
2 6 0.017688 -1 0 
2 7 0.015650 -1 0 
2 8 0.017688 -1 0 
2 9 0.027137 -1 0 
2 10 0.046782 -1 0 
2 11 0.065209 -1 0 
2 12 0.063201 -1 0 
2 13 0.040733 -1 0 
2 14 0.017236 -1 0 
3 0 0.017538 -1 0 
3 1 0.041576 -1 0 
3 2 0.065209 -1 0 
3 3 0.069298 -1 0 
3 4 0.053886 -1 0 
3 5 0.037679 -1 0 
3 6 0.031047 -1 0 
3 7 0.030107 -1 0 
3 8 0.031047 -1 0 
3 9 0.037679 -1 0 
3 10 0.053886 -1 0 
3 11 0.069298 -1 0 
3 12 0.065209 -1 0 
3 13 0.041576 -1 0 
3 14 0.017538 -1 0 
4 0 0.012073 -1 0 
4 1 0.028892 -1 0 
4 2 0.046782 -1 0 
4 3 0.053886 -1 0 
4 4 0.050285 8 1 
4 5 0.047066 -1 0 
4 6 0.048760 -1 0 
4 7 0.050491 -1 0 
4 8 0.048760 -1 0 
4 9 0.047066 -1 0 
4 10 0.050285 3 1 
4 11 0.053886 -1 0 
4 12 0.046782 -1 0 
4 13 0.028892 -1 0 
4 14 0.012073 -1 0 
5 0 0.006220 -1 0 
5 1 0.015320 -1 0 
5 2 0.027137 -1 0 
5 3 0.037679 -1 0 
5 4 0.047066 -1 0 
5 5 0.058143 -1 0 
5 6 0.069057 -1 0 
5 7 0.073764 -1 0 
5 8 0.069057 -1 0 
