9 9 1.00 4
0 0 0.004875 0 0 
0 1 0.011489 0 0 
0 2 0.021190 0 0 
0 3 0.030594 0 0 
0 4 0.034578 0 0 
0 5 0.030594 0 0 
0 6 0.021190 0 0 
0 7 0.011489 0 0 
0 8 0.004875 0 0 
1 0 0.005562 0 0 
1 1 0.013106 1 1 
1 2 0.024173 0 0 
1 3 0.034901 0 0 
1 4 0.039446 0 0 
1 5 0.034901 0 0 
1 6 0.024173 0 0 
1 7 0.013106 1 1 
1 8 0.005562 0 0 
2 0 0.005119 0 0 
2 1 0.012063 0 0 
2 2 0.022249 0 0 
2 3 0.032123 0 0 
2 4 0.036306 0 0 
2 5 0.032123 0 0 
2 6 0.022249 0 0 
2 7 0.012063 0 0 
2 8 0.005119 0 0 
3 0 0.004142 0 0 
3 1 0.009761 0 0 
3 2 0.018003 0 0 
3 3 0.025992 0 0 
3 4 0.029377 0 0 
3 5 0.025992 0 0 
3 6 0.018003 0 0 
3 7 0.009761 0 0 
3 8 0.004142 0 0 
4 0 0.003651 0 0 
4 1 0.008604 0 0 
4 2 0.015870 0 0 
4 3 0.022913 0 0 
4 4 0.025897 1 0 
4 5 0.022913 0 0 
4 6 0.015870 0 0 
4 7 0.008604 0 0 
4 8 0.003651 0 0 
5 0 0.004142 0 0 
5 1 0.009761 0 0 
5 2 0.018003 0 0 
5 3 0.025992 0 0 
5 4 0.029377 0 0 
5 5 0.025992 0 0 
5 6 0.018003 0 0 
5 7 0.009761 0 0 
5 8 0.004142 0 0 
6 0 0.005119 0 0 
6 1 0.012063 0 0 
6 2 0.022249 0 0 
6 3 0.032123 0 0 
6 4 0.036306 0 0 
6 5 0.032123 0 0 
6 6 0.022249 0 0 
6 7 0.012063 0 0 
6 8 0.005119 0 0 
7 0 0.005562 0 0 
7 1 0.013106 1 1 
7 2 0.024173 0 0 
7 3 0.034901 0 0 
7 4 0.039446 0 0 
7 5 0.034901 0 0 
7 6 0.024173 0 0 
7 7 0.013106 1 1 
7 8 0.005562 0 0 
8 0 0.004875 0 0 
8 1 0.011489 0 0 
8 2 0.021190 0 0 
8 3 0.030594 0 0 
8 4 0.034578 0 0 
8 5 0.030594 0 0 
8 6 0.021190 0 0 
8 7 0.011489 0 0 
8 8 0.004875 0 0 
